Usages,File,Actions
1,migration_user_b21.sql,
9,migration_userlogins5_archive.sql,
7,userlogins5_archive.sql,
2,DeleteCommentsMapper.xml,
2,MigrateCommentsMapper.xml,
4,CommentsCleanupTask.java,
4,CommentsMigrateTask.java,
2,DeleteCommentsMapper.java,
2,MigrateCommentsMapper.java,
3,CommentFactory.java,
8,Comment.java,
1,FindCommentQuery.java,
4,GetCategoriesQuery.java,
1,GetCommentQuery.java,
1,Table.java,
1,UserCommentsService.java,
2,full-comment.json,
2,UserCommentShowController.tsx,
3,UserCommentsService.ts,
3,UserCommentFormStoreModule.ts,
7,create_schema_userlogins5.sql,
7,create_schema_userlogins5_postgres.sql,
3,create_schema_userlogins5_south_sequences.sql,
2,drop_schema_userlogins5.sql,
2,initialize_wdk_roles.sql,
2,update_sequences.pl,
5,persistent_tables_oracle.sql,
5,persistent_tables_postgres.sql,
