Usages,File,Actions
10,apiTuningManager.xml,
1,BaseCommentQuery.java,
2,Column.java,
22,commentTableQueries.xml,
3,FindCommentQuery.java,
2,geneAttributeQueries.xml,
5,geneQueries.xml,
1,generateGeneMetrics,
1,generateGeneMetrics_New,
2,geneRecord.xml,
7,geneTableQueries.xml,
1,genomicRecords.xml,
2,GetCommentQuery.java,
1,InsertCommentQuery.java,
1,InsertStableIdQuery.java,
4,MigrateCommentsMapper.xml,
4,migration_comment_b21.sql,
1,popsetRecords.xml,
6,showComments.jsp,
1,showNewCommentLinks,
